case_id,oracle_split,injection_mode,target_rgroup,forcefield_type,energy_original,energy_failed,energy_delta,energy_delta_percentile,energy_delta_strict_pass,energy_delta_outlier_flag,ligand_valid,ligand_internal_severe_clash_count,target_num_severe_pairs,max_clash_depth,visual_qc_recommended,sample_path,failed_ligand_sdf
case_001224,invalid_conformer,directed_clash,R2,MMFF,-514.3188730750378,-440.45014443677485,73.86872863826295,0.7221782178217822,False,abs_delta_ge_p95_or_50,False,4,1,0.7506705522537231,True,samples/case_001224.pkl,ligands/case_001224_failed.sdf
case_002554,invalid_conformer,directed_clash,R6,MMFF,211.87917003481618,285.67816547488223,73.79899544006605,0.7215841584158416,False,abs_delta_ge_p95_or_50,False,2,1,0.8956953287124634,True,samples/case_002554.pkl,ligands/case_002554_failed.sdf
case_000839,invalid_conformer,directed_clash,R3,MMFF,-500.6500468607243,-427.82238633999754,72.82766052072674,0.7211881188118812,False,abs_delta_ge_p95_or_50,False,2,1,0.8443586826324463,True,samples/case_000839.pkl,ligands/case_000839_failed.sdf
case_000840,invalid_conformer,directed_clash,R3,MMFF,-500.6500468607243,-428.4030292561707,72.24701760455355,0.7205940594059406,False,abs_delta_ge_p95_or_50,False,2,1,0.7718784809112549,True,samples/case_000840.pkl,ligands/case_000840_failed.sdf
case_000833,invalid_conformer,easy_rotation,R3,MMFF,-500.6500468607243,-428.4030292561707,72.24701760455355,0.7205940594059406,False,abs_delta_ge_p95_or_50,False,2,1,0.7718784809112549,True,samples/case_000833.pkl,ligands/case_000833_failed.sdf
case_001090,invalid_conformer,torsion_perturb,R6,MMFF,-512.0549629729375,-440.0178254278766,72.03713754506089,0.72,False,abs_delta_ge_p95_or_50,False,1,0,0.0,True,samples/case_001090.pkl,ligands/case_001090_failed.sdf
case_000869,invalid_conformer,easy_rotation,R5,MMFF,-500.6500468607243,-429.3539807210028,71.29606613972146,0.7194059405940594,False,abs_delta_ge_p95_or_50,False,3,1,1.242732286453247,True,samples/case_000869.pkl,ligands/case_000869_failed.sdf
case_000879,invalid_conformer,directed_clash,R5,MMFF,-500.6500468607243,-429.3539807210028,71.29606613972146,0.7194059405940594,False,abs_delta_ge_p95_or_50,False,3,1,1.242732286453247,True,samples/case_000879.pkl,ligands/case_000879_failed.sdf
case_000808,invalid_conformer,directed_clash,R1,MMFF,-500.6500468607243,-429.99735929834594,70.65268756237833,0.7188118811881188,False,abs_delta_ge_p95_or_50,False,1,0,0.24590444564819336,True,samples/case_000808.pkl,ligands/case_000808_failed.sdf
case_001226,invalid_conformer,easy_rotation,R3,MMFF,-514.3188730750378,-444.5241333268328,69.79473974820502,0.7182178217821782,False,abs_delta_ge_p95_or_50,False,4,3,1.2258107662200928,True,samples/case_001226.pkl,ligands/case_001226_failed.sdf
case_001240,invalid_conformer,directed_clash,R3,MMFF,-514.3188730750378,-444.5241333268328,69.79473974820502,0.7182178217821782,False,abs_delta_ge_p95_or_50,False,4,3,1.2258107662200928,True,samples/case_001240.pkl,ligands/case_001240_failed.sdf
case_001088,invalid_conformer,torsion_perturb,R6,MMFF,-512.0549629729375,-442.33297804805284,69.72198492488462,0.7176237623762376,False,abs_delta_ge_p95_or_50,False,1,0,0.0,True,samples/case_001088.pkl,ligands/case_001088_failed.sdf
case_001351,near_miss_contact,easy_rotation,R8,MMFF,612.5638647278502,681.9612038704281,69.39733914257795,0.7172277227722772,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_001351.pkl,ligands/case_001351_failed.sdf
case_000992,invalid_conformer,easy_rotation,R1,MMFF,-512.0549629729375,-442.98737634570386,69.0675866272336,0.7168316831683168,False,abs_delta_ge_p95_or_50,False,2,0,0.0,True,samples/case_000992.pkl,ligands/case_000992_failed.sdf
case_001539,global_pose_failure,torsion_perturb,R2,MMFF,925255351893.3932,925255351961.385,67.9918212890625,0.7164356435643564,False,abs_delta_ge_p95_or_50,True,0,3,1.5536350011825562,True,samples/case_001539.pkl,ligands/case_001539_failed.sdf
case_000929,duplicate_removed,directed_clash,R3,MMFF,-344.7468102339135,-278.98992754918163,65.75688268473186,0.7158415841584158,False,abs_delta_ge_p95_or_50,True,0,8,1.9607264995574951,True,samples/case_000929.pkl,ligands/case_000929_failed.sdf
case_000921,global_pose_failure,easy_rotation,R3,MMFF,-344.7468102339135,-278.98992754918163,65.75688268473186,0.7158415841584158,False,abs_delta_ge_p95_or_50,True,0,8,1.9607264995574951,True,samples/case_000921.pkl,ligands/case_000921_failed.sdf
case_000287,near_miss_contact,directed_clash,R8,MMFF,601.8849589296249,667.3901426486128,65.50518371898795,0.7152475247524752,False,abs_delta_ge_p95_or_50,True,0,0,0.0,True,samples/case_000287.pkl,ligands/case_000287_failed.sdf
case_000977,invalid_conformer,easy_rotation,R6,MMFF,-344.7468102339135,-279.7700418417222,64.97676839219127,0.7146534653465346,False,abs_delta_ge_p95_or_50,False,2,0,0.39603495597839355,True,samples/case_000977.pkl,ligands/case_000977_failed.sdf
case_000986,invalid_conformer,directed_clash,R6,MMFF,-344.7468102339135,-279.7700418417222,64.97676839219127,0.7146534653465346,False,abs_delta_ge_p95_or_50,False,2,0,0.39603495597839355,True,samples/case_000986.pkl,ligands/case_000986_failed.sdf
case_001171,invalid_conformer,easy_rotation,R6,MMFF,-334.3458991947853,-271.6292262244267,62.716672970358616,0.7138613861386138,False,abs_delta_ge_p95_or_50,False,5,1,0.5604195594787598,True,samples/case_001171.pkl,ligands/case_001171_failed.sdf
case_001181,invalid_conformer,directed_clash,R6,MMFF,-334.3458991947853,-271.6292262244267,62.716672970358616,0.7138613861386138,False,abs_delta_ge_p95_or_50,False,5,1,0.5604195594787598,True,samples/case_001181.pkl,ligands/case_001181_failed.sdf
case_001590,supported_single_rgroup,torsion_perturb,R2,MMFF,930414698972.5945,930414698911.7572,-60.8372802734375,0.7132673267326732,False,abs_delta_ge_p95_or_50,True,0,1,0.781935453414917,True,samples/case_001590.pkl,ligands/case_001590_failed.sdf
case_001647,global_pose_failure,torsion_perturb,R3,MMFF,925006539986.4451,925006540046.9756,60.530517578125,0.7128712871287128,False,abs_delta_ge_p95_or_50,True,0,3,1.5164666175842285,True,samples/case_001647.pkl,ligands/case_001647_failed.sdf
case_002596,invalid_conformer,easy_rotation,R2,MMFF,255.5506497923131,316.0100990658073,60.459449273494215,0.7124752475247524,False,abs_delta_ge_p95_or_50,False,1,0,0.0,True,samples/case_002596.pkl,ligands/case_002596_failed.sdf
case_000867,invalid_conformer,easy_rotation,R5,MMFF,-500.6500468607243,-440.7100610858709,59.93998577485337,0.7118811881188118,False,abs_delta_ge_p95_or_50,False,2,6,1.8636620044708252,True,samples/case_000867.pkl,ligands/case_000867_failed.sdf
case_000878,invalid_conformer,directed_clash,R5,MMFF,-500.6500468607243,-440.7100610858709,59.93998577485337,0.7118811881188118,False,abs_delta_ge_p95_or_50,False,2,6,1.8636620044708252,True,samples/case_000878.pkl,ligands/case_000878_failed.sdf
case_000813,invalid_conformer,easy_rotation,R2,MMFF,-500.6500468607243,-441.40063870510664,59.24940815561763,0.7112871287128713,False,abs_delta_ge_p95_or_50,False,1,0,0.0,True,samples/case_000813.pkl,ligands/case_000813_failed.sdf
case_000563,invalid_conformer,easy_rotation,R8,MMFF,606.9551253102011,666.0493700492297,59.09424473902857,0.7106930693069307,False,abs_delta_ge_p95_or_50,False,1,0,0.0,True,samples/case_000563.pkl,ligands/case_000563_failed.sdf
case_000572,invalid_conformer,directed_clash,R8,MMFF,606.9551253102011,666.0493700492297,59.09424473902857,0.7106930693069307,False,abs_delta_ge_p95_or_50,False,1,0,0.0,True,samples/case_000572.pkl,ligands/case_000572_failed.sdf
case_000535,invalid_conformer,directed_clash,R8,MMFF,606.5057481713432,663.4091886681333,56.903440496790154,0.7099009900990099,False,abs_delta_ge_p95_or_50,False,1,0,0.0,True,samples/case_000535.pkl,ligands/case_000535_failed.sdf
